Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
M3K10_HUMAN,Q02779,MAP3K10,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus. Cytoplasm,19q13.2,Mitogen-activated protein kinase kinase kinase 10  
M3K11_HUMAN,Q16584,MAP3K11,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,11q13.1,Mitogen-activated protein kinase kinase kinase 11  
M3K12_HUMAN,Q12852,MAP3K12,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Cell membrane,12q13.13,Mitogen-activated protein kinase kinase kinase 12  
M3K13_HUMAN,O43283,MAP3K13,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,3q27.2,Mitogen-activated protein kinase kinase kinase 13  
M3K14_HUMAN,Q99558,MAP3K14,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,17q21.31,Mitogen-activated protein kinase kinase kinase 14  
M3K15_HUMAN,Q6ZN16,MAP3K15,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,Xp22.12,Mitogen-activated protein kinase kinase kinase 15  
M3K19_HUMAN,Q56UN5,MAP3K19,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Membrane Peripheral membrane protein,2q21.3,Mitogen-activated protein kinase kinase kinase 19  
M3K2_HUMAN,Q9Y2U5,MAP3K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,2q14.3,Mitogen-activated protein kinase kinase kinase 2  
M3K20_HUMAN,Q9NYL2,MAP3K20,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,2q31.1,Mitogen-activated protein kinase kinase kinase 20  
M3K21_HUMAN,Q5TCX8,MAP3K21,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,1q42.2,Mitogen-activated protein kinase kinase kinase 21  
M3K3_HUMAN,Q99759,MAP3K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,17q23.3,Mitogen-activated protein kinase kinase kinase 3  
M3K4_HUMAN,Q9Y6R4,MAP3K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,6q26,Mitogen-activated protein kinase kinase kinase 4  
M3K5_HUMAN,Q99683,MAP3K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,6q23.3,Mitogen-activated protein kinase kinase kinase 5  
M3K6_HUMAN,O95382,MAP3K6,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,1p36.11,Mitogen-activated protein kinase kinase kinase 6  
M3K7_HUMAN,O43318,MAP3K7,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side,6q15,Mitogen-activated protein kinase kinase kinase 7  
M3K8_HUMAN,P41279,MAP3K8,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm,10p11.23,Mitogen-activated protein kinase kinase kinase 8  
M3K9_HUMAN,P80192,MAP3K9,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm,14q24.2,Mitogen-activated protein kinase kinase kinase 9  
M4K1_HUMAN,Q92918,MAP4K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,19q13.2,Mitogen-activated protein kinase kinase kinase kinase 1  
M4K2_HUMAN,Q12851,MAP4K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,11q13.1,Mitogen-activated protein kinase kinase kinase kinase 2  
M4K3_HUMAN,Q8IVH8,MAP4K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,2p22.1,Mitogen-activated protein kinase kinase kinase kinase 3  
M4K4_HUMAN,O95819,MAP4K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,2q11.2,Mitogen-activated protein kinase kinase kinase kinase 4  
M4K5_HUMAN,Q9Y4K4,MAP4K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,14q22.1,Mitogen-activated protein kinase kinase kinase kinase 5  
MAK_HUMAN,P20794,MAK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome. Cytoplasm  cytoskeleton  spindle. Midbody. Cell projection  cilium  photoreceptor outer segment Photoreceptor inner segment.,6p24.2,Serine/threonine-protein kinase MAK  
MAPK2_HUMAN,P49137,MAPKAPK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,1q32.1,MAP kinase-activated protein kinase 2 
MAPK3_HUMAN,Q16644,MAPKAPK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,3p21.2,MAP kinase-activated protein kinase 3 
MAPK5_HUMAN,Q8IW41,MAPKAPK5,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Nucleus Cytoplasm,12q24.12-q24.13,MAP kinase-activated protein kinase 5 
MARK1_HUMAN,Q9P0L2,MARK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein Cytoplasm  cytoskeleton Cytoplasm Cell projection  dendrite,1q41,Serine/threonine-protein kinase MARK1   
MARK2_HUMAN,Q7KZI7,MARK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane; Peripheral membrane protein. Cytoplasm. Lateral cell membrane. Cytoplasm  cytoskeleton. Cell projection  dendrite Cytoplasm,11q13.1,Serine/threonine-protein kinase MARK2   
MARK3_HUMAN,P27448,MARK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein Cell projection  dendrite Cytoplasm,14q32.32-q32.33,MAP/microtubule affinity-regulating kinase 3  
MARK4_HUMAN,Q96L34,MARK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  microtubule organizing center Cytoplasm  cytoskeleton  cilium basal body Cytoplasm  cytoskeleton  cilium axoneme Cytoplasm Cell projection  dendrite,19q13.32,MAP/microtubule affinity-regulating kinase 4  
MAST1_HUMAN,Q9Y2H9,MAST1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein Cytoplasmic side Cytoplasm  cytoskeleton,19p13.13,Microtubule-associated serine/threonine-protein kinase 1  
MAST2_HUMAN,Q6P0Q8,MAST2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side,1p34.1,Microtubule-associated serine/threonine-protein kinase 2 
MAST3_HUMAN,O60307,MAST3,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side,19p13.11,Microtubule-associated serine/threonine-protein kinase 3 
MAST4_HUMAN,O15021,MAST4,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm,5q12.3,Microtubule-associated serine/threonine-protein kinase 4 
MATK_HUMAN,P42679,MATK,Protein kinase superfamily  Tyr protein kinase family  CSK subfamily,Cytoplasm Membrane,19p13.3,Megakaryocyte-associated tyrosine-protein kinase  
MCM4_HUMAN,P33991,MCM4,MCM family,Nucleus,8q11.21,DNA replication licensing factor MCM4 
MELK_HUMAN,Q14680,MELK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cell membrane Peripheral membrane protein,9p13.2,Maternal embryonic leucine zipper kinase 
MERTK_HUMAN,Q12866,MERTK,Protein kinase superfamily  Tyr protein kinase family  AXL/UFO subfamily,Membrane Single-pass type I membrane protein,2q13,Tyrosine-protein kinase Mer  
MET_HUMAN,P08581,MET,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass type I membrane protein,7q31.2,Hepatocyte growth factor receptor 
MINK1_HUMAN,Q8N4C8,MINK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Cell projection  axon Cell projection  dendrite,17p13.2,Misshapen-like kinase 1  
MK01_HUMAN,P28482,MAPK1,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm  cytoskeleton  spindle Nucleus. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome. Cytoplasm. Membrane  caveola,22q11.22,Mitogen-activated protein kinase 1 
MK03_HUMAN,P27361,MAPK3,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm. Nucleus. Membrane  caveola,16p11.2,Mitogen-activated protein kinase 3 
MK04_HUMAN,P31152,MAPK4,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,18q21.1-q21.2,Mitogen-activated protein kinase 4 
MK06_HUMAN,Q16659,MAPK6,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,15q21.2,Mitogen-activated protein kinase 6 
MK07_HUMAN,Q13164,MAPK7,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,17p11.2,Mitogen-activated protein kinase 7 
MK08_HUMAN,P45983,MAPK8,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,10q11.22,Mitogen-activated protein kinase 8 
MK09_HUMAN,P45984,MAPK9,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,5q35.3,Mitogen-activated protein kinase 9 
MK10_HUMAN,P53779,MAPK10,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Membrane Lipid-anchor Nucleus Mitochondrion,4q21.3,Mitogen-activated protein kinase 10 
MK11_HUMAN,Q15759,MAPK11,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,22q13.33,Mitogen-activated protein kinase 11 
MK12_HUMAN,P53778,MAPK12,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,22q13.33,Mitogen-activated protein kinase 12 
MK13_HUMAN,O15264,MAPK13,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,6p21.31,Mitogen-activated protein kinase 13 
MK14_HUMAN,Q16539,MAPK14,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm Nucleus,6p21.31,Mitogen-activated protein kinase 14 
MK15_HUMAN,Q8TD08,MAPK15,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Cytoplasm  cytoskeleton  cilium basal body Cell junction  tight junction Cytoplasm  cytoskeleton  microtubule organizing center  centrosome  centriole Cytoplasmic vesicle  autophagosome Golgi apparatus Nucleus Cytoplasm Cytoplasm  cytoskeleton  spindle,-,Mitogen-activated protein kinase 15 
MKNK1_HUMAN,Q9BUB5,MKNK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein,1p33,MAP kinase-interacting serine/threonine-protein kinase 1  
MKNK2_HUMAN,Q9HBH9,MKNK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein,19p13.3,MAP kinase-interacting serine/threonine-protein kinase 2  
MLKL_HUMAN,Q8NB16,MLKL,Protein kinase superfamily,Cytoplasm Cell membrane,16q23.1,Mixed lineage kinase domain-like protein 
MOK_HUMAN,Q9UQ07,MOK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  CDC2/CDKX subfamily,Cytoplasm Cell projection  cilium Nucleus,14q32.31,MAPK/MAK/MRK overlapping kinase  
MOS_HUMAN,P00540,MOS,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm Cell membrane,8q12.1,Proto-oncogene serine/threonine-protein kinase mos  
MP2K1_HUMAN,Q02750,MAP2K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  microtubule organizing center  spindle pole body Cytoplasm Nucleus Membrane Peripheral membrane protein,15q22.31,Dual specificity mitogen-activated protein kinase kinase 1 
MP2K2_HUMAN,P36507,MAP2K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,19p13.3,Dual specificity mitogen-activated protein kinase kinase 2 
MP2K3_HUMAN,P46734,MAP2K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Membrane Peripheral membrane protein,17p11.2,Dual specificity mitogen-activated protein kinase kinase 3 
MP2K4_HUMAN,P45985,MAP2K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Nucleus,17p12,Dual specificity mitogen-activated protein kinase kinase 4 
MP2K5_HUMAN,Q13163,MAP2K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm Nucleus,15q23,Dual specificity mitogen-activated protein kinase kinase 5 
MP2K6_HUMAN,P52564,MAP2K6,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Nucleus Cytoplasm Cytoplasm  cytoskeleton,17q24.3,Dual specificity mitogen-activated protein kinase kinase 6 
MP2K7_HUMAN,O14733,MAP2K7,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Nucleus. Cytoplasm,19p13.2,Dual specificity mitogen-activated protein kinase kinase 7 
MRCKA_HUMAN,Q5VT25,CDC42BPA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm Cell projection  lamellipodium,1q42.13,Serine/threonine-protein kinase MRCK alpha  
MRCKB_HUMAN,Q9Y5S2,CDC42BPB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side Cell junction Cell projection  lamellipodium,14q32.32,Serine/threonine-protein kinase MRCK beta  
MRCKG_HUMAN,Q6DT37,CDC42BPG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm,11q13.1,Serine/threonine-protein kinase MRCK gamma  
MTOR_HUMAN,P42345,MTOR,PI3/PI4-kinase family,Endoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Golgi apparatus membrane Peripheral membrane protein Cytoplasmic side Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side Lysosome Cytoplasm Nucleus  PML body Microsome membrane,1p36.22,Serine/threonine-protein kinase mTOR  
MUSK_HUMAN,O15146,MUSK,Protein kinase superfamily  Tyr protein kinase family,Cell junction  synapse  postsynaptic cell membrane Single-pass type I membrane protein,9q31.3,Muscle  skeletal receptor tyrosine-protein kinase  
MYLK_HUMAN,Q15746,MYLK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cell projection  lamellipodium Cleavage furrow Cytoplasm  cytoskeleton  stress fiber,3q21.1,Myosin light chain kinase  smooth muscle 
MYLK2_HUMAN,Q9H1R3,MYLK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Cell projection  lamellipodium Cleavage furrow Cytoplasm  cytoskeleton  stress fiber,20q11.21,Myosin light chain kinase 2  skeletal/cardiac muscle 
MYLK3_HUMAN,Q32MK0,MYLK3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,16q11.2,Myosin light chain kinase 3 
MYLK4_HUMAN,Q86YV6,MYLK4,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,,Myosin light chain kinase family member 4  
MYO3A_HUMAN,Q8NEV4,MYO3A,TRAFAC class myosin-kinesin ATPase superfamily  Myosin family; Protein kinase superfamily  STE Ser/Thr protein kinase family,Cytoplasm  cytoskeleton. Cytoplasm Cell projection  filopodium tip Cell projection  stereocilium,10p12.1,Myosin-IIIa 
MYO3B_HUMAN,Q8WXR4,MYO3B,TRAFAC class myosin-kinesin ATPase superfamily  Myosin family; Protein kinase superfamily  STE Ser/Thr protein kinase family,Cytoplasm  cytoskeleton. Cell projection  stereocilium,2q31.1,Myosin-IIIb 
NEK1_HUMAN,Q96PY6,NEK1,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm,4q33,Serine/threonine-protein kinase Nek1  
NEK10_HUMAN,Q6ZWH5,NEK10,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm,3p24.1,Serine/threonine-protein kinase Nek10  
NEK11_HUMAN,Q8NG66,NEK11,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Nucleus Nucleus  nucleolus,3q22.1,Serine/threonine-protein kinase Nek11  
NEK2_HUMAN,P51955,NEK2,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Isoform 1: Nucleus. Nucleus  nucleolus Cytoplasm. Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Cytoplasm  cytoskeleton  spindle pole. Chromosome  centromere  kinetochore. Chromosome  centromere,1q32.3,Serine/threonine-protein kinase Nek2  
NEK3_HUMAN,P51956,NEK3,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Cell projection  axon,13q14.3,Serine/threonine-protein kinase Nek3  
NEK4_HUMAN,P51957,NEK4,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,3p21.1,Serine/threonine-protein kinase Nek4  
NEK5_HUMAN,Q6P3R8,NEK5,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,13q14.3,Serine/threonine-protein kinase Nek5  
NEK6_HUMAN,Q9HC98,NEK6,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,9q33.3,Serine/threonine-protein kinase Nek6  
NEK7_HUMAN,Q8TDX7,NEK7,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cell projection  cilium Cytoplasm,1q31.3,Serine/threonine-protein kinase Nek7  
NEK8_HUMAN,Q86SG6,NEK8,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Cytoplasm  cytoskeleton. Cell projection  cilium,17q11.2,Serine/threonine-protein kinase Nek8  
NEK9_HUMAN,Q8TD19,NEK9,Protein kinase superfamily  NEK Ser/Thr protein kinase family  NIMA subfamily,Cytoplasm Nucleus,14q24.3,Serine/threonine-protein kinase Nek9  
NIM1_HUMAN,Q8IY84,NIM1K,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm,5p12,Serine/threonine-protein kinase NIM1  
NLK_HUMAN,Q9UBE8,NLK,Protein kinase superfamily  CMGC Ser/Thr protein kinase family  MAP kinase subfamily,Nucleus Cytoplasm,17q11.2,Serine/threonine-protein kinase NLK  
NRBP_HUMAN,Q9UHY1,NRBP1,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm  cell cortex Endomembrane system Cell projection  lamellipodium,2p23.3,Nuclear receptor-binding protein
NRBP2_HUMAN,Q9NSY0,NRBP2,Protein kinase superfamily  Ser/Thr protein kinase family,Cytoplasm,8q24.3,Nuclear receptor-binding protein 2 
NRK_HUMAN,Q7Z2Y5,NRK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm  cytoskeleton. Cell projection  stereocilium,Xq22.3,Nik-related protein kinase 
NTRK1_HUMAN,P04629,NTRK1,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein Early endosome membrane Single-pass type I membrane protein Late endosome membrane Single-pass type I membrane protein Recycling endosome membrane Single-pass type I membrane protein,1q23.1,High affinity nerve growth factor receptor  
NTRK2_HUMAN,Q16620,NTRK2,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein Early endosome membrane Cell projection  axon Cell projection  dendrite Cytoplasm  perinuclear region,9q21.33,BDNF/NT-3 growth factors receptor  
NTRK3_HUMAN,Q16288,NTRK3,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein Early endosome membrane Cell projection  axon Cell projection  dendrite Cytoplasm  perinuclear region,15q25.3,NT-3 growth factor receptor  
NUAK1_HUMAN,O60285,NUAK1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Nucleus Cytoplasm,12q23.3,NUAK family SNF1-like kinase 1  
NUAK2_HUMAN,Q9H093,NUAK2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Nucleus Cytoplasm,1q32.1,NUAK family SNF1-like kinase 2  
OBSCN_HUMAN,Q5VST9,OBSCN,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm  myofibril  sarcomere  M line Cytoplasm  myofibril  sarcomere  Z line,1q42.13,Obscurin  
OXSR1_HUMAN,O95747,OXSR1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,3p22.2,Serine/threonine-protein kinase OSR1  
PACE1_HUMAN,Q8IZE3,SCYL3,Protein kinase superfamily,Cytoplasm Golgi apparatus Cell projection  lamellipodium,1q24.2,Protein-associating with the carboxyl-terminal domain of ezrin 
PAK1_HUMAN,Q13153,PAK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  focal adhesion Cell membrane Cell projection  ruffle membrane Cell projection  invadopodium,11q13.5-q14.1,Serine/threonine-protein kinase PAK 1  
PAK2_HUMAN,Q13177,PAK2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  focal adhesion Cell membrane Cell projection  ruffle membrane Cell projection  invadopodium,3q29,Serine/threonine-protein kinase PAK 2  
PAK3_HUMAN,O75914,PAK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Xq23,Serine/threonine-protein kinase PAK 3  
PAK4_HUMAN,O96013,PAK4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,19q13.2,Serine/threonine-protein kinase PAK 4  
PAK5_HUMAN,Q9P286,PAK5,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,20p12.2,Serine/threonine-protein kinase PAK 5  
PAK6_HUMAN,Q9NQU5,PAK6,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,15q15.1,Serine/threonine-protein kinase PAK 6  
PAN3_HUMAN,Q58A45,PAN3,Protein kinase superfamily  PAN3 family,Cytoplasm  P-body,13q12.2,PAN2-PAN3 deadenylation complex subunit PAN3 
PANX3_HUMAN,Q96QZ0,PANX3,Pannexin family,Cell membrane Multi-pass membrane protein Cell junction  gap junction.,11q24.2,Pannexin-3
PASK_HUMAN,Q96RG2,PASK,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,2q37.3,PAS domain-containing serine/threonine-protein kinase 
PDK1_HUMAN,Q15118,PDK1,PDK/BCKDK protein kinase family,Mitochondrion matrix,2q31.1,[Pyruvate dehydrogenase 
PDK1L_HUMAN,Q8N165,PDIK1L,Protein kinase superfamily  Ser/Thr protein kinase family,Nucleus,1p36.11,Serine/threonine-protein kinase PDIK1L  
PDK2_HUMAN,Q15119,PDK2,PDK/BCKDK protein kinase family,Mitochondrion matrix,17q21.33,[Pyruvate dehydrogenase 
PDK3_HUMAN,Q15120,PDK3,PDK/BCKDK protein kinase family,Mitochondrion matrix,Xp22.11,[Pyruvate dehydrogenase 
PDK4_HUMAN,Q16654,PDK4,PDK/BCKDK protein kinase family,Mitochondrion matrix,7q21.3,[Pyruvate dehydrogenase 
PDPK1_HUMAN,O15530,PDPK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PDPK1 subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus Cleavage furrow,16p13.3,3-phosphoinositide-dependent protein kinase 1 
PDPK2_HUMAN,Q6A1A2,PDPK2P,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PDPK1 subfamily,Cytoplasm Membrane Peripheral membrane protein,,Putative 3-phosphoinositide-dependent protein kinase 2  
PEAK1_HUMAN,Q9H792,PEAK1,Protein kinase superfamily,Cytoplasm  cytoskeleton Cell junction  focal adhesion,15q24.3,Inactive tyrosine-protein kinase PEAK1 
PGFRA_HUMAN,P16234,PDGFRA,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  cilium Golgi apparatus,4q12,Platelet-derived growth factor receptor alpha 
PGFRB_HUMAN,P09619,PDGFRB,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  cilium Golgi apparatus,5q32,Platelet-derived growth factor receptor beta 
PHKG1_HUMAN,Q16816,PHKG1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,7p11.2,Phosphorylase b kinase gamma catalytic chain  skeletal muscle/heart isoform 
PHKG2_HUMAN,P15735,PHKG2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family,Cytoplasm Nucleus,16p11.2,Phosphorylase b kinase gamma catalytic chain  liver/testis isoform 
PI3R4_HUMAN,Q99570,PIK3R4,Protein kinase superfamily  Ser/Thr protein kinase family,Late endosome Cytoplasmic vesicle  autophagosome Membrane Lipid-anchor,3q22.1,Phosphoinositide 3-kinase regulatory subunit 4 
PIM1_HUMAN,P11309,PIM1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm Nucleus,6p21.2,Serine/threonine-protein kinase pim-1 
PIM2_HUMAN,Q9P1W9,PIM2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm Nucleus,Xp11.23,Serine/threonine-protein kinase pim-2  
PIM3_HUMAN,Q86V86,PIM3,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  PIM subfamily,Cytoplasm,22q13.33,Serine/threonine-protein kinase pim-3 
