KinaseID,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_location,Protein_longname,Genome_location 
238,Q9Y2U5,M3K2_HUMAN,MAP3K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 2  ,2q14.3
239,Q9NYL2,M3K20_HUMAN,MAP3K20,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 20  ,2q31.1
240,Q5TCX8,M3K21_HUMAN,MAP3K21,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 21  ,1q42.2
241,Q99759,M3K3_HUMAN,MAP3K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Nucleus,Mitogen-activated protein kinase kinase kinase 3  ,17q23.3
242,Q9Y6R4,M3K4_HUMAN,MAP3K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,Mitogen-activated protein kinase kinase kinase 4  ,6q26
243,Q99683,M3K5_HUMAN,MAP3K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,Mitogen-activated protein kinase kinase kinase 5  ,6q23.3
244,O95382,M3K6_HUMAN,MAP3K6,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm  perinuclear region,Mitogen-activated protein kinase kinase kinase 6  ,1p36.11
245,O43318,M3K7_HUMAN,MAP3K7,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side,Mitogen-activated protein kinase kinase kinase 7  ,6q15
246,P41279,M3K8_HUMAN,MAP3K8,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm,Mitogen-activated protein kinase kinase kinase 8  ,10p11.23
247,P80192,M3K9_HUMAN,MAP3K9,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Cytoplasm,Mitogen-activated protein kinase kinase kinase 9  ,14q24.2
248,Q92918,M4K1_HUMAN,MAP4K1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 1  ,19q13.2
249,Q12851,M4K2_HUMAN,MAP4K2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase kinase 2  ,11q13.1
250,Q8IVH8,M4K3_HUMAN,MAP4K3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase kinase 3  ,2p22.1
251,O95819,M4K4_HUMAN,MAP4K4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 4  ,2q11.2
252,Q9Y4K4,M4K5_HUMAN,MAP4K5,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 5  ,14q22.1
253,Q8N4C8,MINK1_HUMAN,MINK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Cell projection  axon Cell projection  dendrite,Misshapen-like kinase 1  ,17p13.2
254,Q8NEV4,MYO3A_HUMAN,MYO3A,TRAFAC class myosin-kinesin ATPase superfamily  Myosin family; Protein kinase superfamily  STE Ser/Thr protein kinase family,Cytoplasm  cytoskeleton. Cytoplasm Cell projection  filopodium tip Cell projection  stereocilium,Myosin-IIIa ,10p12.1
255,Q8WXR4,MYO3B_HUMAN,MYO3B,TRAFAC class myosin-kinesin ATPase superfamily  Myosin family; Protein kinase superfamily  STE Ser/Thr protein kinase family,Cytoplasm  cytoskeleton. Cell projection  stereocilium,Myosin-IIIb ,2q31.1
256,Q7Z2Y5,NRK_HUMAN,NRK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm  cytoskeleton. Cell projection  stereocilium,Nik-related protein kinase ,Xq22.3
257,O95747,OXSR1_HUMAN,OXSR1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase OSR1  ,3p22.2
258,Q13153,PAK1_HUMAN,PAK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  focal adhesion Cell membrane Cell projection  ruffle membrane Cell projection  invadopodium,Serine/threonine-protein kinase PAK 1  ,11q13.5-q14.1
259,Q13177,PAK2_HUMAN,PAK2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  focal adhesion Cell membrane Cell projection  ruffle membrane Cell projection  invadopodium,Serine/threonine-protein kinase PAK 2  ,3q29
260,Q13177,PAK2_HUMAN,PAK2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell junction  focal adhesion Cell membrane Cell projection  ruffle membrane Cell projection  invadopodium,Serine/threonine-protein kinase PAK 2  ,3q29
261,O75914,PAK3_HUMAN,PAK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase PAK 3  ,Xq23
262,O96013,PAK4_HUMAN,PAK4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase PAK 4  ,19q13.2
263,Q9P286,PAK5_HUMAN,PAK5,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase PAK 5  ,20p12.2
264,Q9NQU5,PAK6_HUMAN,PAK6,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase PAK 6  ,15q15.1
265,Q96KB5,TOPK_HUMAN,PBK,Protein kinase superfamily  STE Ser/Thr protein kinase family  MAP kinase kinase subfamily,Cytoplasm,Lymphokine-activated killer T-cell-originated protein kinase  ,8p21.1
266,Q9H2G2,SLK_HUMAN,SLK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,STE20-like serine/threonine-protein kinase ,10q24.33-q25.1
267,O94804,STK10_HUMAN,STK10,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase 10  ,5q35.1
268,Q9Y6E0,STK24_HUMAN,STK24,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase 24  ,13q32.2
269,O00506,STK25_HUMAN,STK25,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Golgi apparatus,Serine/threonine-protein kinase 25  ,2q37.3
270,Q9P289,STK26_HUMAN,STK26,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Golgi apparatus,Serine/threonine-protein kinase 26  ,Xq26.2
271,Q13188,STK3_HUMAN,STK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase 3  ,8q22.2
272,Q9UEW8,STK39_HUMAN,STK39,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,STE20/SPS1-related proline-alanine-rich protein kinase ,2q24.3
273,Q13043,STK4_HUMAN,STK4,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Nucleus,Serine/threonine-protein kinase 4  ,20q13.12
274,Q7RTN6,STRAA_HUMAN,STRADA,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Nucleus Cytoplasm,STE20-related kinase adapter protein alpha ,17q23.3
275,Q9C0K7,STRAB_HUMAN,STRADB,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Nucleus Cytoplasm,STE20-related kinase adapter protein beta ,2q33.1
276,Q7L7X3,TAOK1_HUMAN,TAOK1,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm,Serine/threonine-protein kinase TAO1  ,17q11.2
277,Q9UL54,TAOK2_HUMAN,TAOK2,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasmic vesicle membrane Multi-pass membrane protein Cytoplasm  cytoskeleton. Nucleus.,Serine/threonine-protein kinase TAO2  ,16p11.2
278,Q9H2K8,TAOK3_HUMAN,TAOK3,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase TAO3  ,12q24.23
279,Q9UKE5,TNIK_HUMAN,TNIK,Protein kinase superfamily  STE Ser/Thr protein kinase family  STE20 subfamily,Cytoplasm Cell membrane Peripheral membrane protein,TRAF2 and NCK-interacting protein kinase ,3q26.2-q26.31
280,Q04771,ACVR1_HUMAN,ACVR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cytoplasm Cell membrane Peripheral membrane protein,Activin receptor type-1  ,2q24.1
281,P36896,ACV1B_HUMAN,ACVR1B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,Activin receptor type-1B  ,12q13.13
282,Q8NER5,ACV1C_HUMAN,ACVR1C,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Membrane Single-pass type I membrane protein,Activin receptor type-1C  
283,P27037,AVR2A_HUMAN,ACVR2A,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Membrane Single-pass type I membrane protein,Activin receptor type-2A  ,2q22.3-q23.1
284,Q13705,AVR2B_HUMAN,ACVR2B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,Activin receptor type-2B  ,3p22.2
285,P37023,ACVL1_HUMAN,ACVRL1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,Serine/threonine-protein kinase receptor R3 ,12q13.13
286,Q16671,AMHR2_HUMAN,AMHR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,Anti-Muellerian hormone type-2 receptor  ,12q13.13
287,Q8NFD2,ANKK1_HUMAN,ANKK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cell membrane Single-pass type I membrane protein,Ankyrin repeat and protein kinase domain-containing protein 1  ,11q23.2
288,P10398,ARAF_HUMAN,ARAF,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Cell membrane Single-pass type I membrane protein,Serine/threonine-protein kinase A-Raf  ,Xp11.3
289,P36894,BMR1A_HUMAN,BMPR1A,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Cell surface,Bone morphogenetic protein receptor type-1A ,10q23.2
290,O00238,BMR1B_HUMAN,BMPR1B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Membrane; Single-pass type I membrane protein.,Bone morphogenetic protein receptor type-1B ,4q22.3
291,Q13873,BMPR2_HUMAN,BMPR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein.,Bone morphogenetic protein receptor type-2 ,2q33.1-q33.2
292,P15056,BRAF_HUMAN,BRAF,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Nucleus Cytoplasm. Cell membrane,Serine/threonine-protein kinase B-raf  ,7q34
293,Q13418,ILK_HUMAN,ILK,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cell junction  focal adhesion Cell membrane; Peripheral membrane protein; Cytoplasmic side Cell projection  lamellipodium Cytoplasm  myofibril  sarcomere,Integrin-linked protein kinase  ,11p15.4
294,P51617,IRAK1_HUMAN,IRAK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase 1 ,Xq28
295,O43187,IRAK2_HUMAN,IRAK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase-like 2 ,3p25.3
296,Q9Y616,IRAK3_HUMAN,IRAK3,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase 3 ,12q14.3
297,Q9NWZ3,IRAK4_HUMAN,IRAK4,Protein kinase superfamily  TKL Ser/Thr protein kinase family  Pelle subfamily,Cytoplasm,Interleukin-1 receptor-associated kinase 4 ,12q12
298,Q8IVT5,KSR1_HUMAN,KSR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm Membrane Peripheral membrane protein Cell membrane Peripheral membrane protein Cell projection  ruffle membrane Endoplasmic reticulum membrane,Kinase suppressor of Ras 1,17q11.2
299,Q6VAB6,KSR2_HUMAN,KSR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm Membrane Peripheral membrane protein,Kinase suppressor of Ras 2 ,12q24.22-q24.23
300,P53667,LIMK1_HUMAN,LIMK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Nucleus. Cell projection  lamellipodium,LIM domain kinase 1 ,7q11.23
301,P53671,LIMK2_HUMAN,LIMK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Nucleus. Cell projection  lamellipodium,LIM domain kinase 2 ,22q12.2
302,Q38SD2,LRRK1_HUMAN,LRRK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  ROCO subfamily,Cytoplasm,Leucine-rich repeat serine/threonine-protein kinase 1 ,15q26.3
303,Q5S007,LRRK2_HUMAN,LRRK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection  axon. Cell projection  dendrite. Endoplasmic reticulum Cytoplasmic vesicle  secretory vesicle  synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix,Leucine-rich repeat serine/threonine-protein kinase 2  ,12q12
304,P04049,RAF1_HUMAN,RAF1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  RAF subfamily,Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection  axon. Cell projection  dendrite. Endoplasmic reticulum Cytoplasmic vesicle  secretory vesicle  synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix,RAF proto-oncogene serine/threonine-protein kinase  ,3p25.2
305,Q13546,RIPK1_HUMAN,RIPK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Cell membrane,Receptor-interacting serine/threonine-protein kinase 1  ,6p25.2
306,O43353,RIPK2_HUMAN,RIPK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm,Receptor-interacting serine/threonine-protein kinase 2  ,8q21.3
307,Q9Y572,RIPK3_HUMAN,RIPK3,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm  cytosol Cell membrane Mitochondrion,Receptor-interacting serine/threonine-protein kinase 3  ,14q12
308,P57078,RIPK4_HUMAN,RIPK4,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Membrane Peripheral membrane protein,Receptor-interacting serine/threonine-protein kinase 4  ,21q22.3
309,Q15569,TESK1_HUMAN,TESK1,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Cytoplasm. Membrane Peripheral membrane protein,Dual specificity testis-specific protein kinase 1  ,9p13.3
310,Q96S53,TESK2_HUMAN,TESK2,Protein kinase superfamily  TKL Ser/Thr protein kinase family,Nucleus,Dual specificity testis-specific protein kinase 2  ,1p34.1
311,P36897,TGFR1_HUMAN,TGFBR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Cell junction  tight junction Cell surface Membrane raft,TGF-beta receptor type-1 ,9q22.33
312,P37173,TGFR2_HUMAN,TGFBR2,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein Membrane raft,TGF-beta receptor type-2 ,3p24.1
313,Q59H18,TNI3K_HUMAN,TNNI3K,Protein kinase superfamily  TKL Ser/Thr protein kinase family  MAP kinase kinase kinase subfamily,Nucleus Cytoplasm,Serine/threonine-protein kinase TNNI3K  ,1p31.1
314,Q6ZMQ8,LMTK1_HUMAN,AATK,Protein kinase superfamily  Tyr protein kinase family,Membrane Single-pass type I membrane protein Cytoplasm Cytoplasm  perinuclear region,Serine/threonine-protein kinase LMTK1  ,17q25.3
315,P00519,ABL1_HUMAN,ABL1,Protein kinase superfamily  Tyr protein kinase family  ABL subfamily,Cytoplasm  cytoskeleton. Nucleus. Mitochondrion,Tyrosine-protein kinase ABL1  ,9q34.12
316,P42684,ABL2_HUMAN,ABL2,Protein kinase superfamily  Tyr protein kinase family  ABL subfamily,Cytoplasm  cytoskeleton. Nucleus. Mitochondrion,Tyrosine-protein kinase ABL2  ,1q25.2
317,Q9UM73,ALK_HUMAN,ALK,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,ALK tyrosine kinase receptor  ,2p23.2-p23.1
318,P30530,UFO_HUMAN,AXL,Protein kinase superfamily  Tyr protein kinase family  AXL/UFO subfamily,Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase receptor UFO  ,19q13.2
319,P51451,BLK_HUMAN,BLK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane Lipid-anchor,Tyrosine-protein kinase Blk  ,8p23.1
320,P51813,BMX_HUMAN,BMX,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm,Cytoplasmic tyrosine-protein kinase BMX  ,Xp22.2
321,Q06187,BTK_HUMAN,BTK,Protein kinase superfamily  Tyr protein kinase family  TEC subfamily,Cytoplasm,Tyrosine-protein kinase BTK  ,Xq22.1
322,P07333,CSF1R_HUMAN,CSF1R,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cytoplasm,Macrophage colony-stimulating factor 1 receptor ,5q32
323,P41240,CSK_HUMAN,CSK,Protein kinase superfamily  Tyr protein kinase family  CSK subfamily,Cytoplasm Cell membrane,Tyrosine-protein kinase CSK  ,15q24.1
324,Q08345,DDR1_HUMAN,DDR1,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cytoplasm Cell membrane,Epithelial discoidin domain-containing receptor 1 ,6p21.33
325,Q16832,DDR2_HUMAN,DDR2,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,Discoidin domain-containing receptor 2 ,1q23.3
326,P00533,EGFR_HUMAN,EGFR,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome Endosome membrane. Nucleus,Epidermal growth factor receptor  ,7p11.2
327,P21709,EPHA1_HUMAN,EPHA1,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 1 ,7q34-q35
328,Q5JZY3,EPHAA_HUMAN,EPHA10,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Isoform 1: Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 10 ,1p34.3
329,P29317,EPHA2_HUMAN,EPHA2,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  ruffle membrane Single-pass type I membrane protein Cell projection  lamellipodium membrane Single-pass type I membrane protein Cell junction  focal adhesion,Ephrin type-A receptor 2  ,1p36.13
330,P29320,EPHA3_HUMAN,EPHA3,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Isoform 1: Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 3  ,3p11.1
331,P54764,EPHA4_HUMAN,EPHA4,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  axon Cell projection  dendrite Cell junction  synapse  postsynaptic cell membrane  postsynaptic density Early endosome,Ephrin type-A receptor 4  ,2q36.1
332,P54756,EPHA5_HUMAN,EPHA5,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  axon Cell projection  dendrite,Ephrin type-A receptor 5  ,4q13.1-q13.2
333,Q9UF33,EPHA6_HUMAN,EPHA6,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Membrane Single-pass type I membrane protein,Ephrin type-A receptor 6  ,3q11.2
334,Q15375,EPHA7_HUMAN,EPHA7,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 7  ,6q16.1
335,P29322,EPHA8_HUMAN,EPHA8,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection Early endosome membrane,Ephrin type-A receptor 8  ,1p36.12
336,P54762,EPHB1_HUMAN,EPHB1,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Early endosome membrane Cell projection  dendrite,Ephrin type-B receptor 1  ,3q22.2
337,P29323,EPHB2_HUMAN,EPHB2,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein. Cell projection  axon Cell projection  dendrite,Ephrin type-B receptor 2  ,1p36.12
338,P54753,EPHB3_HUMAN,EPHB3,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein Cell projection  dendrite,Ephrin type-B receptor 3  ,3q27.1
339,P54760,EPHB4_HUMAN,EPHB4,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,Ephrin type-B receptor 4  ,7q22.1
340,O15197,EPHB6_HUMAN,EPHB6,Protein kinase superfamily  Tyr protein kinase family  Ephrin receptor subfamily,Cell membrane Single-pass type I membrane protein,Ephrin type-B receptor 6 ,7q34
341,P04626,ERBB2_HUMAN,ERBB2,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-2  ,17q12
342,P21860,ERBB3_HUMAN,ERBB3,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-3  ,12q13.2
343,Q15303,ERBB4_HUMAN,ERBB4,Protein kinase superfamily  Tyr protein kinase family  EGF receptor subfamily,Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-4  ,2q34
344,P16591,FER_HUMAN,FER,Protein kinase superfamily  Tyr protein kinase family  Fes/fps subfamily,Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase Fer  ,5q21.3
345,P07332,FES_HUMAN,FES,Protein kinase superfamily  Tyr protein kinase family  Fes/fps subfamily,Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase Fes/Fps  ,15q26.1
346,P11362,FGFR1_HUMAN,FGFR1,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 1 ,8p11.23
347,P21802,FGFR2_HUMAN,FGFR2,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 2 ,10q26.13
348,P22607,FGFR3_HUMAN,FGFR3,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 3 ,4p16.3
349,P22455,FGFR4_HUMAN,FGFR4,Protein kinase superfamily  Tyr protein kinase family  Fibroblast growth factor receptor subfamily,Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 4 ,5q35.2
350,P09769,FGR_HUMAN,FGR,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,Tyrosine-protein kinase Fgr  ,1p35.3
351,P17948,VGFR1_HUMAN,FLT1,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,Vascular endothelial growth factor receptor 1 ,13q12.3
352,P36888,FLT3_HUMAN,FLT3,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection  ruffle membrane. Cytoplasm  cytosol. Cytoplasm  cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space,Receptor-type tyrosine-protein kinase FLT3  ,13q12.2
353,P35916,VGFR3_HUMAN,FLT4,Protein kinase superfamily  Tyr protein kinase family  CSF-1/PDGF receptor subfamily,Cell membrane Single-pass type I membrane protein. Cytoplasm Nucleus,Vascular endothelial growth factor receptor 3 ,5q35.3
354,P42685,FRK_HUMAN,FRK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,Tyrosine-protein kinase FRK  ,6q22.1
355,P06241,FYN_HUMAN,FYN,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,Tyrosine-protein kinase Fyn  ,6q21
356,P08631,HCK_HUMAN,HCK,Protein kinase superfamily  Tyr protein kinase family  SRC subfamily,Cytoplasm Nucleus,Tyrosine-protein kinase HCK  ,20q11.21
357,P08069,IGF1R_HUMAN,IGF1R,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,Insulin-like growth factor 1 receptor  ,15q26.3
358,P06213,INSR_HUMAN,INSR,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,Insulin receptor ,19p13.2
359,P14616,INSRR_HUMAN,INSRR,Protein kinase superfamily  Tyr protein kinase family  Insulin receptor subfamily,Cell membrane Single-pass type I membrane protein,Insulin receptor-related protein ,1q23.1
